recurrence	hazard	value
1	1	9
1	2	0
1	3	0
1	4	1
1	5	1
1	6	0
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	0
1	13	1
1	14	1
1	15	0
1	16	0
1	17	0
1	18	0
1	19	2
1	20	0
1	21	0
2	1	2
2	2	3
2	3	4
2	4	1
2	5	1
2	6	1
2	7	0
2	8	1
2	9	4
2	10	0
2	11	0
2	12	1
2	13	1
2	14	1
2	15	0
2	16	0
2	17	0
2	18	0
2	19	0
2	20	0
2	21	0
3	1	0
3	2	3
3	3	0
3	4	3
3	5	0
3	6	1
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0
3	13	0
3	14	0
3	15	0
3	16	0
3	17	0
3	18	0
3	19	0
3	20	0
3	21	0
4	1	4
4	2	4
4	3	0
4	4	0
4	5	0
4	6	1
4	7	1
4	8	1
4	9	0
4	10	0
4	11	0
4	12	0
4	13	0
4	14	0
4	15	0
4	16	4
4	17	0
4	18	0
4	19	0
4	20	0
4	21	0